频率 f (kHz),10,20,30,40,50
Us (V),2,2,2,2,2
R_Ubc (mV),10.9,10.3,10.5,10.3,10.4
L_Ubc (mV),125,61.7,43.9,32.6,26.3
C_Ubc (mV),134,245,380,486,600

R_AB (格),100
R_CD (格),0.00
L_AB (格),100
L_CD (格),21.6
C_AB (格),100
C_CD (格),75.2

R_2a (V),5.76
R_2b (mV),29.6      # 对应 R 在 10kHz 时 Ubc=10.9mV，峰峰值约 10.9×2√2 ≈ 30.8mV
L_2a (V),5.72
L_2b (mV),356
C_2a (V),5.80
C_2b (mV),366
